POST_ID,TEXTO,LIKES
290896662283889,Conoce la experiencia de nuestra pasante Gabriela Méndez en el programa de becas AMITY,70
3329511033725939,¡Hola! Hoy nuestros docentes de la Facultad de Ciencias Empresariales de #UGBUsulután tienen un mensaje para todos ustedes.,114
1588580197970362,"Conoce la experiencia de nuestra pasante Catherine Araya, en Amity Interns Conversations",82
1690235981144054,Conoce la experiencia de nuestros pasantes en Amity Interns Conversations,73
3327014037308972,La pandemia coloca a las personas de edad en una situación de mayor riesgo de pobreza y aislamiento. Hoy la ONU celebra el Día Mundial de Toma de Conciencia del Abuso y Maltrato en la Vejez y nos recuerda que debemos cuidar de la salud de las personas mayores en todo momento.,107
